iter	RMSE
859	6431484.972
860	6427030.255
861	6422440.475
862	6414285.178
863	6410629.598
864	6405589.392
865	6402555.135
866	6398240.38
867	6396330.622
868	6394046.999
869	6383228.649
870	6380864.471
871	6372112.89
872	6364093.804
873	6360610.921
874	6352230.627
875	6347474.684
876	6344071.648
877	6338488.98
878	6332567.043
879	6322727.322
880	6319147.606
881	6310680.326
882	6303188.251
883	6295772.403
884	6294614.854
885	6290520.029
886	6285828.014
887	6280023.518
888	6278811.85
889	6273739.641
890	6271190.462
891	6257877.41
892	6250832.083
893	6247409.054
894	6238534.673
895	6233162.899
896	6227460.375
897	6223272.574
898	6218703.31
899	6208618.546
900	6200559.014
901	6196160.893
902	6195424.34
903	6189779.798
904	6183619.13
905	6177606.061
906	6172412.532
907	6171297.893
908	6167924.018
909	6166839.053
910	6159981.877
911	6152639.823
912	6149001.511
913	6141445.702
914	6132104.125
915	6131055.42
916	6124560.429
917	6121116.379
918	6114751.828
919	6112044.524
920	6110615.216
921	6101220.066
922	6096325.779
923	6095694.165
924	6087892.996
925	6085867.06
926	6080432.643
927	6068250.363
928	6064446.564
929	6059552.119
930	6048755.468
931	6041925.867
932	6039606.855
933	6038634.924
934	6036435.542
935	6032183.187
936	6024057.817
937	6023634.854
938	6021532.832
939	6021346.683
940	6016921.302
941	6012168.253
942	6008340.317
943	6003103.055
944	5999755.947
945	5996804.116
946	5993461.992
947	5990176.791
948	5984286.188
949	5980447.483
950	5973084.997
951	5969035.727
952	5966228.222
953	5964156.661
954	5961564.842
955	5954019.412
956	5952055.823
957	5947414.226
958	5944304.392
959	5938803.95
960	5934467.217
961	5931699.757
962	5923283.913
963	5918957.204
964	5914205.101
965	5909449.767
966	5908797.701
967	5900629.499
968	5899839.086
969	5893952.412
970	5886263.916
971	5879946.517
972	5875668.599
973	5870827.518
974	5865774.66
975	5861041.077
976	5849689.954
977	5846695.305
978	5842962.264
979	5839109.567
980	5832823.737
981	5827059.63
982	5817137.092
983	5809900.242
984	5808334.876
985	5803367.684
986	5798754.125
987	5794281.587
988	5789424.042
989	5787096.759
990	5780242.987
991	5776307.744
992	5773728.413
993	5767016.809
994	5765859.226
995	5757191.232
996	5757018.096
997	5754585.223
998	5748932.615
999	5742540.538
